id,source,predicate,target,unit,confidence,doc_instance_id,clause_id,support_count,track,evidence_anchors
edge_8967079f2884a7f9d5e58b09,Clause:0ae95f60cf40ef3dbcc874d7e32a0ed5a3d91c7d587ec5cae592c8064a14b8f8#clause_0004,clause_has_parameter_mention,ParameterMention:pm_473834c9767c8a4f82a6,,1.0,0ae95f60cf40ef3dbcc874d7e32a0ed5a3d91c7d587ec5cae592c8064a14b8f8,0ae95f60cf40ef3dbcc874d7e32a0ed5a3d91c7d587ec5cae592c8064a14b8f8#clause_0004,1,strict_all,"[{""char_end"":84,""char_start"":82,""clause_id"":""0ae95f60cf40ef3dbcc874d7e32a0ed5a3d91c7d587ec5cae592c8064a14b8f8#clause_0004"",""doc_instance_id"":""0ae95f60cf40ef3dbcc874d7e32a0ed5a3d91c7d587ec5cae592c8064a14b8f8""}]"
edge_a7f1a09cc53fb56467b162ff,Clause:0ae95f60cf40ef3dbcc874d7e32a0ed5a3d91c7d587ec5cae592c8064a14b8f8#clause_0004,clause_has_parameter_mention,ParameterMention:pm_4d550487aff0b96f185f,,1.0,0ae95f60cf40ef3dbcc874d7e32a0ed5a3d91c7d587ec5cae592c8064a14b8f8,0ae95f60cf40ef3dbcc874d7e32a0ed5a3d91c7d587ec5cae592c8064a14b8f8#clause_0004,1,strict_all,"[{""char_end"":88,""char_start"":86,""clause_id"":""0ae95f60cf40ef3dbcc874d7e32a0ed5a3d91c7d587ec5cae592c8064a14b8f8#clause_0004"",""doc_instance_id"":""0ae95f60cf40ef3dbcc874d7e32a0ed5a3d91c7d587ec5cae592c8064a14b8f8""}]"
edge_62a707606511b0648eb77e78,Clause:0ae95f60cf40ef3dbcc874d7e32a0ed5a3d91c7d587ec5cae592c8064a14b8f8#clause_0009,clause_has_parameter_mention,ParameterMention:pm_c67fbf8b2ec60b5e8296,,1.0,0ae95f60cf40ef3dbcc874d7e32a0ed5a3d91c7d587ec5cae592c8064a14b8f8,0ae95f60cf40ef3dbcc874d7e32a0ed5a3d91c7d587ec5cae592c8064a14b8f8#clause_0009,1,strict_all,"[{""char_end"":47,""char_start"":45,""clause_id"":""0ae95f60cf40ef3dbcc874d7e32a0ed5a3d91c7d587ec5cae592c8064a14b8f8#clause_0009"",""doc_instance_id"":""0ae95f60cf40ef3dbcc874d7e32a0ed5a3d91c7d587ec5cae592c8064a14b8f8""}]"
edge_feffd5ee4b9223fa91e03d1b,Clause:0ae95f60cf40ef3dbcc874d7e32a0ed5a3d91c7d587ec5cae592c8064a14b8f8#clause_0010,clause_has_parameter_mention,ParameterMention:pm_7ae030e534db9d770081,,1.0,0ae95f60cf40ef3dbcc874d7e32a0ed5a3d91c7d587ec5cae592c8064a14b8f8,0ae95f60cf40ef3dbcc874d7e32a0ed5a3d91c7d587ec5cae592c8064a14b8f8#clause_0010,1,strict_all,"[{""char_end"":4,""char_start"":2,""clause_id"":""0ae95f60cf40ef3dbcc874d7e32a0ed5a3d91c7d587ec5cae592c8064a14b8f8#clause_0010"",""doc_instance_id"":""0ae95f60cf40ef3dbcc874d7e32a0ed5a3d91c7d587ec5cae592c8064a14b8f8""}]"
edge_cdc580219818599972a9d199,Clause:0c6f09a25dd67445d4329a19b7c075e48243ee2db53c7faa02f8ad5296257722#clause_0000,clause_has_parameter_mention,ParameterMention:pm_b97a02843839859cfb3f,,1.0,0c6f09a25dd67445d4329a19b7c075e48243ee2db53c7faa02f8ad5296257722,0c6f09a25dd67445d4329a19b7c075e48243ee2db53c7faa02f8ad5296257722#clause_0000,1,strict_all,"[{""char_end"":122,""char_start"":117,""clause_id"":""0c6f09a25dd67445d4329a19b7c075e48243ee2db53c7faa02f8ad5296257722#clause_0000"",""doc_instance_id"":""0c6f09a25dd67445d4329a19b7c075e48243ee2db53c7faa02f8ad5296257722""}]"
edge_c9c057709ad0f1690ffedc51,Clause:0d4df7638a86e161686866b0b8ac4efc520827097e76902f88d922c41e699999#clause_0003,clause_has_parameter_mention,ParameterMention:pm_0cd10f855c4d7fe6fd9f,,1.0,0d4df7638a86e161686866b0b8ac4efc520827097e76902f88d922c41e699999,0d4df7638a86e161686866b0b8ac4efc520827097e76902f88d922c41e699999#clause_0003,1,strict_all,"[{""char_end"":22,""char_start"":20,""clause_id"":""0d4df7638a86e161686866b0b8ac4efc520827097e76902f88d922c41e699999#clause_0003"",""doc_instance_id"":""0d4df7638a86e161686866b0b8ac4efc520827097e76902f88d922c41e699999""}]"
edge_8c22de87c61e9d4bf8fb45cb,Clause:0d66b8c7139a0f984bbaf759d12e1bb40d66b6e7f05bab043de5e56b4398fb79#clause_0000,clause_has_parameter_mention,ParameterMention:pm_8736dd047b0a76db5ee7,,1.0,0d66b8c7139a0f984bbaf759d12e1bb40d66b6e7f05bab043de5e56b4398fb79,0d66b8c7139a0f984bbaf759d12e1bb40d66b6e7f05bab043de5e56b4398fb79#clause_0000,1,strict_all,"[{""char_end"":122,""char_start"":117,""clause_id"":""0d66b8c7139a0f984bbaf759d12e1bb40d66b6e7f05bab043de5e56b4398fb79#clause_0000"",""doc_instance_id"":""0d66b8c7139a0f984bbaf759d12e1bb40d66b6e7f05bab043de5e56b4398fb79""}]"
edge_6397d5092492b71ea0ae49e8,Clause:0de53d8f7a3a1c2de8a8ce98c12216d63084f7e235dd8ddcc02f07760d36a17a#clause_0000,clause_has_parameter_mention,ParameterMention:pm_649003ba7664a882b0d1,,1.0,0de53d8f7a3a1c2de8a8ce98c12216d63084f7e235dd8ddcc02f07760d36a17a,0de53d8f7a3a1c2de8a8ce98c12216d63084f7e235dd8ddcc02f07760d36a17a#clause_0000,1,strict_all,"[{""char_end"":130,""char_start"":128,""clause_id"":""0de53d8f7a3a1c2de8a8ce98c12216d63084f7e235dd8ddcc02f07760d36a17a#clause_0000"",""doc_instance_id"":""0de53d8f7a3a1c2de8a8ce98c12216d63084f7e235dd8ddcc02f07760d36a17a""}]"
edge_c756de48398a0537ebc0dc56,Clause:0de53d8f7a3a1c2de8a8ce98c12216d63084f7e235dd8ddcc02f07760d36a17a#clause_0000,clause_has_parameter_mention,ParameterMention:pm_997f150a63762f80d78b,,1.0,0de53d8f7a3a1c2de8a8ce98c12216d63084f7e235dd8ddcc02f07760d36a17a,0de53d8f7a3a1c2de8a8ce98c12216d63084f7e235dd8ddcc02f07760d36a17a#clause_0000,1,strict_all,"[{""char_end"":96,""char_start"":93,""clause_id"":""0de53d8f7a3a1c2de8a8ce98c12216d63084f7e235dd8ddcc02f07760d36a17a#clause_0000"",""doc_instance_id"":""0de53d8f7a3a1c2de8a8ce98c12216d63084f7e235dd8ddcc02f07760d36a17a""}]"
edge_9f31b4786625a55d0e664ab8,Clause:0de53d8f7a3a1c2de8a8ce98c12216d63084f7e235dd8ddcc02f07760d36a17a#clause_0000,clause_has_parameter_mention,ParameterMention:pm_9dc555531f4fd1e52949,,1.0,0de53d8f7a3a1c2de8a8ce98c12216d63084f7e235dd8ddcc02f07760d36a17a,0de53d8f7a3a1c2de8a8ce98c12216d63084f7e235dd8ddcc02f07760d36a17a#clause_0000,1,strict_all,"[{""char_end"":116,""char_start"":113,""clause_id"":""0de53d8f7a3a1c2de8a8ce98c12216d63084f7e235dd8ddcc02f07760d36a17a#clause_0000"",""doc_instance_id"":""0de53d8f7a3a1c2de8a8ce98c12216d63084f7e235dd8ddcc02f07760d36a17a""}]"
edge_909dd12ce6052cdff3257e21,Clause:0de53d8f7a3a1c2de8a8ce98c12216d63084f7e235dd8ddcc02f07760d36a17a#clause_0026,clause_has_parameter_mention,ParameterMention:pm_23b5d616785376890930,,1.0,0de53d8f7a3a1c2de8a8ce98c12216d63084f7e235dd8ddcc02f07760d36a17a,0de53d8f7a3a1c2de8a8ce98c12216d63084f7e235dd8ddcc02f07760d36a17a#clause_0026,1,strict_all,"[{""char_end"":79,""char_start"":76,""clause_id"":""0de53d8f7a3a1c2de8a8ce98c12216d63084f7e235dd8ddcc02f07760d36a17a#clause_0026"",""doc_instance_id"":""0de53d8f7a3a1c2de8a8ce98c12216d63084f7e235dd8ddcc02f07760d36a17a""}]"
edge_2ebd6174aca72a567e21773c,Clause:0de53d8f7a3a1c2de8a8ce98c12216d63084f7e235dd8ddcc02f07760d36a17a#clause_0026,clause_has_parameter_mention,ParameterMention:pm_b2ddb5c7812ae64b0576,,1.0,0de53d8f7a3a1c2de8a8ce98c12216d63084f7e235dd8ddcc02f07760d36a17a,0de53d8f7a3a1c2de8a8ce98c12216d63084f7e235dd8ddcc02f07760d36a17a#clause_0026,1,strict_all,"[{""char_end"":98,""char_start"":96,""clause_id"":""0de53d8f7a3a1c2de8a8ce98c12216d63084f7e235dd8ddcc02f07760d36a17a#clause_0026"",""doc_instance_id"":""0de53d8f7a3a1c2de8a8ce98c12216d63084f7e235dd8ddcc02f07760d36a17a""}]"
edge_a19de3e825b9453d7b6fb2e3,Clause:0de53d8f7a3a1c2de8a8ce98c12216d63084f7e235dd8ddcc02f07760d36a17a#clause_0026,clause_has_parameter_mention,ParameterMention:pm_eb5a49a0ef093b257092,,1.0,0de53d8f7a3a1c2de8a8ce98c12216d63084f7e235dd8ddcc02f07760d36a17a,0de53d8f7a3a1c2de8a8ce98c12216d63084f7e235dd8ddcc02f07760d36a17a#clause_0026,1,strict_all,"[{""char_end"":59,""char_start"":56,""clause_id"":""0de53d8f7a3a1c2de8a8ce98c12216d63084f7e235dd8ddcc02f07760d36a17a#clause_0026"",""doc_instance_id"":""0de53d8f7a3a1c2de8a8ce98c12216d63084f7e235dd8ddcc02f07760d36a17a""}]"
edge_606877aed528d50c095d45ad,Clause:0ef7089f429ca4377a5b92c9f7a419ffcb4a3102d8d0ac5666c9f1bfef4ba625#clause_0001,clause_has_parameter_mention,ParameterMention:pm_351a3d60c8ad696d2bd4,,1.0,0ef7089f429ca4377a5b92c9f7a419ffcb4a3102d8d0ac5666c9f1bfef4ba625,0ef7089f429ca4377a5b92c9f7a419ffcb4a3102d8d0ac5666c9f1bfef4ba625#clause_0001,1,strict_all,"[{""char_end"":69,""char_start"":67,""clause_id"":""0ef7089f429ca4377a5b92c9f7a419ffcb4a3102d8d0ac5666c9f1bfef4ba625#clause_0001"",""doc_instance_id"":""0ef7089f429ca4377a5b92c9f7a419ffcb4a3102d8d0ac5666c9f1bfef4ba625""}]"
edge_48c43eb1b461d964dd4d007b,Clause:0ef7089f429ca4377a5b92c9f7a419ffcb4a3102d8d0ac5666c9f1bfef4ba625#clause_0002,clause_has_parameter_mention,ParameterMention:pm_022c4687ec199faeb14a,,1.0,0ef7089f429ca4377a5b92c9f7a419ffcb4a3102d8d0ac5666c9f1bfef4ba625,0ef7089f429ca4377a5b92c9f7a419ffcb4a3102d8d0ac5666c9f1bfef4ba625#clause_0002,1,strict_all,"[{""char_end"":26,""char_start"":24,""clause_id"":""0ef7089f429ca4377a5b92c9f7a419ffcb4a3102d8d0ac5666c9f1bfef4ba625#clause_0002"",""doc_instance_id"":""0ef7089f429ca4377a5b92c9f7a419ffcb4a3102d8d0ac5666c9f1bfef4ba625""}]"
edge_1c7d7f408ed65134bc07cc7c,Clause:0ef7089f429ca4377a5b92c9f7a419ffcb4a3102d8d0ac5666c9f1bfef4ba625#clause_0002,clause_has_parameter_mention,ParameterMention:pm_11c5c7d574124dccf88f,,1.0,0ef7089f429ca4377a5b92c9f7a419ffcb4a3102d8d0ac5666c9f1bfef4ba625,0ef7089f429ca4377a5b92c9f7a419ffcb4a3102d8d0ac5666c9f1bfef4ba625#clause_0002,1,strict_all,"[{""char_end"":34,""char_start"":32,""clause_id"":""0ef7089f429ca4377a5b92c9f7a419ffcb4a3102d8d0ac5666c9f1bfef4ba625#clause_0002"",""doc_instance_id"":""0ef7089f429ca4377a5b92c9f7a419ffcb4a3102d8d0ac5666c9f1bfef4ba625""}]"
edge_82a1ebd2ab07e479efffd414,Clause:0ef7089f429ca4377a5b92c9f7a419ffcb4a3102d8d0ac5666c9f1bfef4ba625#clause_0002,clause_has_parameter_mention,ParameterMention:pm_7ee8aa22a6a610bb6a5a,,1.0,0ef7089f429ca4377a5b92c9f7a419ffcb4a3102d8d0ac5666c9f1bfef4ba625,0ef7089f429ca4377a5b92c9f7a419ffcb4a3102d8d0ac5666c9f1bfef4ba625#clause_0002,1,strict_all,"[{""char_end"":30,""char_start"":28,""clause_id"":""0ef7089f429ca4377a5b92c9f7a419ffcb4a3102d8d0ac5666c9f1bfef4ba625#clause_0002"",""doc_instance_id"":""0ef7089f429ca4377a5b92c9f7a419ffcb4a3102d8d0ac5666c9f1bfef4ba625""}]"
edge_2c62a6844a087afe3254c3b3,Clause:0f3400361f4f38388365c57c706fc464f0fa6aee962bdb434173380878f8c94b#clause_0000,clause_has_parameter_mention,ParameterMention:pm_0ae223c1cd0931a14658,,1.0,0f3400361f4f38388365c57c706fc464f0fa6aee962bdb434173380878f8c94b,0f3400361f4f38388365c57c706fc464f0fa6aee962bdb434173380878f8c94b#clause_0000,1,strict_all,"[{""char_end"":105,""char_start"":103,""clause_id"":""0f3400361f4f38388365c57c706fc464f0fa6aee962bdb434173380878f8c94b#clause_0000"",""doc_instance_id"":""0f3400361f4f38388365c57c706fc464f0fa6aee962bdb434173380878f8c94b""}]"
edge_42fa9c5743230c4c3a116e9a,Clause:0f3400361f4f38388365c57c706fc464f0fa6aee962bdb434173380878f8c94b#clause_0002,clause_has_parameter_mention,ParameterMention:pm_2e4d3d14bf73fb3d1423,,1.0,0f3400361f4f38388365c57c706fc464f0fa6aee962bdb434173380878f8c94b,0f3400361f4f38388365c57c706fc464f0fa6aee962bdb434173380878f8c94b#clause_0002,1,strict_all,"[{""char_end"":26,""char_start"":24,""clause_id"":""0f3400361f4f38388365c57c706fc464f0fa6aee962bdb434173380878f8c94b#clause_0002"",""doc_instance_id"":""0f3400361f4f38388365c57c706fc464f0fa6aee962bdb434173380878f8c94b""}]"
